0.156, 0.493, 8.971
0.079, 0.105, 10.417
0.314, 0.898, 9.294
0.381, 1.003, 9.265
0.381, 1.003, 9.265
0.438, -0.515, 9.385
-0.189, 1.097, 10.484
0.031, 0.9, 9.524
-0.479, 0.192, 10.463
-0.393, 0.146, 9.716
0.484, 1.302, 9.773
-0.139, -0.34, 9.998
-0.139, -0.34, 9.998
0.51, 0.96, 10.786
0.548, 0.175, 9.684
0.11, -0.46, 10.285
0.093, 0.108, 9.972
1.173, 1.875, 11.76
-0.184, -1.022, 12.16
-0.184, -1.022, 12.16
-0.34, 2.267, 10.19
0.371, -0.749, 9.182
0.845, 0.366, 10.7
-0.306, 0.989, 8.918
-0.306, 0.989, 8.918
-0.113, 0.532, 9.656
0.062, -0.05, 10.192
0.78, 1.049, 9.189
-0.168, -1.164, 8.583
-0.041, -1.025, 8.705
0.362, 0.603, 9.665
0.362, 0.603, 9.665
0.474, -0.177, 10.436
0.285, -0.848, 9.668
0.912, 1.944, 10.455
0.002, 0.797, 8.662
0.306, 0.733, 11.593
0.235, 0.316, 9.129
0.038, 0.175, 10.096
0.464, 0.34, 9.27
0.994, 1.049, 10.012
0.994, 1.049, 10.012
0.378, 0.002, 10.103
0.177, 1.93, 9.895
0.943, 0.388, 9.641
0.615, -0.704, 8.418
-0.194, 1.255, 11.6
-0.359, -0.067, 7.858
-0.359, -0.067, 7.858
0.366, 0.891, 12.241
0.335, 0.464, 10.235
0.299, 1.104, 9.174
0.788, -0.223, 10.544
0.048, 1.01, 8.875
0.065, 0.596, 10.611
0.065, 0.596, 10.611
-0.151, 0.156, 9.49
-0.146, 0.704, 8.992
-0.048, 0.273, 10.225
0.127, 0.802, 9.862
0.127, 0.802, 9.862
0.634, 0.141, 10.075
0.381, 0.989, 8.897
0.381, 0.989, 8.897
0.419, 0.709, 9.917
0.314, -0.062, 9.962
0.314, -0.062, 9.962
0.474, 0.838, 10.307
0.57, 0.426, 8.837
0.012, 0.536, 10.055
-0.022, 0.287, 10.388
0.151, 0.68, 10.293
0.158, 0.704, 10.099
0.431, -0.005, 9.474
0.072, 0.136, 9.682
0.072, 0.136, 9.682
0.206, 0.931, 10.135
0.311, 0.704, 9.797
0.292, 0.491, 10.223
0.654, 0.611, 9.821
0.654, 0.611, 9.821
0.515, 0.381, 9.988
-0.05, 0.565, 9.273
0.769, 0.95, 9.344
0.204, -0.086, 10.211
0.101, 0.053, 10.24
0.699, 0.989, 10.18
0.699, 0.989, 10.18
0.084, 0.517, 9.926
0.115, 0.769, 10.965
-0.12, 0.941, 9.385
-0.12, 0.941, 9.385
0.601, 1.041, 10.391
0.189, 1.085, 10.491
0.189, 1.085, 10.491
0.39, 0.838, 10.168
0.632, -0.077, 9.924
1.12, 0.649, 10.826
0.33, 0.678, 9.704
0.33, 0.678, 9.704
0.247, 0.517, 10.307
0.376, 0.512, 9.826
0.91, 0.855, 10.443
0.424, 0.029, 9.297
0.208, 1.202, 10.431
0.208, 1.202, 10.431
0.512, 0.072, 10.35
0.555, 0.443, 10.146
0.555, 0.443, 10.146
0.579, 0.816, 10.017
0.637, 0.582, 10.194
0.52, 1.326, 9.874
0.52, 1.326, 9.874
0.512, 0.476, 9.62
0.436, 0.613, 10.008
0.493, 0.776, 10.022
0.29, 0.51, 9.852
0.115, 0.045, 9.988
0.362, 0.479, 10.067
-0.364, 0.366, 9.814
-0.364, 0.366, 9.814
0.062, 0.778, 10.079
0.017, -0.342, 9.914
0.304, 0.45, 10.963
-0.012, 1.183, 9.993
0.057, 1.029, 10.022
0.091, 0.215, 10.52
-0.005, 0.673, 10.762
-0.005, 0.673, 10.762
0.62, 0.211, 9.953
0.005, 0.551, 10.223
0.838, 0.814, 9.538
0.838, 0.814, 9.538
0.769, 0.302, 9.16
0.699, 0.783, 9.814
0.699, 0.783, 9.814
-0.134, 0.613, 8.743
0.113, -0.18, 9.723
0.136, 0.958, 8.892
-0.156, 1.149, 8.595
0.486, -0.184, 9.632
0.864, 1.211, 10.106
0.113, 0.579, 8.945
0.113, 0.579, 8.945
0.17, -0.031, 9.694
-0.034, 0.663, 9.598
-0.28, 0.534, 10.079
0.323, 0.34, 10.405
0.211, 0.91, 9.833
0.211, 0.91, 9.833
0.812, 0.029, 9.874
0.287, 0.871, 9.56
0.754, 0.378, 10.477
0.29, 0.694, 10.008
0.247, -0.182, 10.599
0.304, 1.59, 10.513
-0.055, -0.045, 8.942
0.0, -0.017, 9.012
0.249, 0.441, 10.553
0.184, 0.381, 9.337
0.517, 0.891, 9.708
0.517, 0.891, 9.708
-0.041, 0.474, 10.151
-0.05, -0.115, 10.089
0.716, 0.723, 10.53
0.637, 0.467, 9.519
0.632, 0.479, 9.476
0.168, 0.546, 10.362
0.369, 0.62, 8.959
0.369, 0.62, 8.959
0.302, 0.582, 10.24
0.101, 0.666, 10.314
0.101, 0.666, 10.314
0.687, 0.855, 9.735
0.342, 0.338, 9.818
0.283, 0.323, 9.637
0.663, 0.048, 9.943
0.441, 0.833, 9.32
0.342, 0.759, 10.108
-0.12, -0.153, 7.951
-0.019, 1.642, 10.518
0.625, 0.235, 10.034
0.625, 0.235, 10.034
0.278, 0.204, 9.22
0.115, 1.188, 8.763
1.008, 0.886, 10.436
-0.074, 0.745, 8.782
1.161, -0.235, 10.19
0.402, 0.692, 9.656
0.402, 0.692, 9.656
0.668, 0.196, 8.609
0.412, 0.685, 10.855
0.113, 0.646, 9.905
0.402, 0.57, 10.108
-0.115, 0.35, 10.228
0.558, 0.493, 10.814
-0.196, 0.692, 10.949
-0.194, 0.685, 11.255
0.757, -0.132, 9.931
0.661, 0.048, 10.429
0.661, 0.048, 10.429
-0.17, 0.819, 9.749
0.031, -0.146, 10.439
0.031, -0.146, 10.439
0.022, 0.723, 10.391
-0.034, -0.599, 9.074
-0.034, -0.599, 9.074
-0.532, 0.606, 10.953
0.498, 0.357, 10.362
0.34, -0.491, 10.264
-0.053, 0.251, 10.556
0.326, 0.678, 10.963
0.347, -0.831, 10.099
0.352, 0.254, 11.023
-0.124, 0.718, 10.199
0.314, 0.323, 9.301
0.493, 0.057, 10.034
0.493, 0.057, 10.034
0.577, -0.512, 10.623
0.029, 1.59, 10.376
0.189, 0.139, 10.802
0.156, 1.063, 10.024
0.01, 1.068, 9.835
-0.005, 0.335, 10.97
0.46, 0.706, 11.123
-0.163, 0.369, 10.127
-0.163, 0.369, 10.127
0.136, 0.225, 10.197
0.187, 0.769, 10.546
